file,line,table,terminal,counted,head_only,embedded,methods
app/api/approvals/route.ts,58,employees,maybeSingle,false,false,false,"select eq maybeSingle"
app/api/approvals/route.ts,71,approvals,many,false,false,false,"select eq in order"
app/api/approvals/route.ts,81,approvals,many,false,false,false,"select eq gte in order"
app/api/approvals/route.ts,105,bookings,many,false,false,false,"select in"
app/api/approvals/route.ts,128,employees,many,false,false,false,"select in"
app/api/approvals/[approvalId]/refresh-fare/route.ts,46,employees,maybeSingle,false,false,false,"select eq maybeSingle"
app/api/approvals/[approvalId]/refresh-fare/route.ts,56,approvals,maybeSingle,false,false,false,"select eq maybeSingle"
app/api/approvals/[approvalId]/refresh-fare/route.ts,74,bookings,maybeSingle,false,false,false,"select eq maybeSingle"
app/api/approvals/[approvalId]/refresh-fare/route.ts,179,bookings,many,false,false,false,"update"
app/api/approvals/[approvalId]/refresh-fare/route.ts,211,approvals,many,false,false,false,"update eq"
app/api/approvals/[approvalId]/route.ts,40,employees,maybeSingle,false,false,false,"select eq maybeSingle"
app/api/approvals/[approvalId]/route.ts,50,approvals,maybeSingle,false,false,false,"select eq maybeSingle"
app/api/approvals/[approvalId]/route.ts,75,bookings,maybeSingle,false,false,false,"select eq maybeSingle"
app/api/approvals/[approvalId]/route.ts,94,approvals,many,false,false,false,"update eq"
app/api/approvals/[approvalId]/route.ts,108,bookings,many,false,false,false,"update eq"
app/api/approvals/[approvalId]/route.ts,131,bookings,many,false,false,false,"update eq"
app/api/approvals/[approvalId]/route.ts,159,bookings,many,false,false,false,"update eq"
app/api/approvals/[approvalId]/route.ts,176,bookings,many,false,false,false,"update eq"
app/api/auth/activate/route.ts,19,employees,single,false,false,false,"select update eq single"
app/api/auth/activate/route.ts,26,employees,many,false,false,false,"update eq"
app/api/auth/register-company/route.ts,38,clients,single,false,false,false,"select insert single"
app/api/auth/register-company/route.ts,50,bands,many,false,false,false,"select insert"
app/api/auth/register-company/route.ts,62,employees,many,false,false,false,"insert"
app/api/auth/register-company/route.ts,84,clients,many,false,false,false,"delete eq"
app/api/auth/signin/route.ts,53,employees,maybeSingle,false,false,false,"select eq maybeSingle"
app/api/auth/signin/route.ts,61,clients,maybeSingle,false,false,false,"select eq maybeSingle"
app/api/auth/verify/route.ts,78,employees,maybeSingle,false,false,false,"select update eq maybeSingle"
app/api/auth/verify/route.ts,87,employees,many,false,false,false,"update eq"
app/api/book/add-passenger/route.ts,81,employees,maybeSingle,false,false,false,"select eq maybeSingle"
